Datetime,Temperature,Humidity,Precipitation,Dew/Frost Point,Wet Bulb Temperature,Soil Temperature
2025040900,7.4,59,0.0,-0.1,3.6,10.2
2025040901,6.9,59,0.0,-0.5,3.2,9.7
2025040902,6.5,62,0.0,-0.2,3.1,9.2
2025040903,6.0,72,0.0,1.4,3.4,8.7
2025040904,5.5,74,0.0,1.3,3.1,8.3
2025040905,5.2,74,0.0,0.9,2.8,7.9
2025040906,4.6,82,0.0,1.8,2.9,7.3
2025040907,4.9,84,0.0,2.4,3.4,7.7
2025040908,5.7,83,0.0,3.0,4.0,8.5
2025040909,7.4,70,0.0,2.3,4.6,10.7
2025040910,8.3,68,0.0,2.8,5.2,12.2
2025040911,9.8,61,0.0,2.7,6.0,13.7
2025040912,10.4,60,0.0,2.9,6.4,15.0
2025040913,11.6,58,0.0,3.6,7.2,16.8
2025040914,12.6,56,0.0,4.0,7.9,18.1
2025040915,13.2,52,0.0,3.5,8.0,18.7
2025040916,13.7,53,0.0,4.3,8.6,18.6
2025040917,13.3,54,0.0,4.2,8.3,17.6
2025040918,12.7,54,0.0,3.6,7.8,16.0
2025040919,11.7,56,0.0,3.2,7.1,14.3
2025040920,9.3,73,0.0,4.7,6.6,12.8
2025040921,8.2,77,0.0,4.4,5.9,11.6
2025040922,7.5,69,0.0,2.2,4.6,10.7
2025040923,6.7,74,0.0,2.4,4.3,9.9
2025041000,6.2,77,0.0,2.5,4.0,9.2
2025041001,6.1,77,0.0,2.3,3.9,8.7
2025041002,6.0,78,0.0,2.5,3.9,8.4
2025041003,5.9,79,0.0,2.6,3.9,8.2
2025041004,5.7,81,0.0,2.7,3.9,8.0
2025041005,5.6,83,0.0,3.0,4.0,7.7
2025041006,5.7,82,0.0,2.8,3.9,7.6
2025041007,6.4,79,0.0,3.0,4.4,8.1
2025041008,7.5,74,0.0,3.2,5.0,9.4
2025041009,8.7,69,0.0,3.3,5.7,11.4
2025041010,9.5,67,0.0,3.6,6.2,13.0
2025041011,10.4,65,0.0,4.1,6.9,14.8
2025041012,11.8,60,0.0,4.3,7.7,16.9
2025041013,13.3,55,0.0,4.4,8.4,19.3
2025041014,14.4,53,0.0,4.9,9.2,20.9
2025041015,15.2,52,0.0,5.4,9.8,21.2
2025041016,15.8,51,0.0,5.7,10.2,20.6
2025041017,16.0,50,0.0,5.6,10.2,19.5
2025041018,15.7,48,0.0,4.7,9.8,18.2
2025041019,15.3,50,0.0,5.0,9.7,16.6
2025041020,14.3,56,0.0,5.7,9.5,15.1
2025041021,13.2,63,0.0,6.3,9.2,14.0
2025041022,12.7,67,0.0,6.7,9.1,13.1
2025041023,11.6,73,0.0,6.9,8.8,12.4
2025041100,11.1,74,0.0,6.6,8.4,11.9
2025041101,10.5,77,0.0,6.7,8.1,11.4
2025041102,10.0,80,0.0,6.7,7.9,11.0
2025041103,9.5,82,0.0,6.6,7.7,10.6
2025041104,9.1,82,0.0,6.2,7.2,10.3
2025041105,8.6,83,0.0,5.9,6.9,9.9
2025041106,8.4,83,0.0,5.7,6.7,9.7
2025041107,9.1,79,0.0,5.6,6.9,10.2
2025041108,10.5,72,0.0,5.7,7.6,11.8
2025041109,12.4,59,0.0,4.6,8.1,14.2
2025041110,14.3,49,0.0,3.7,8.7,17.0
2025041111,16.2,43,0.0,3.6,9.6,19.9
2025041112,17.8,38,0.0,3.3,10.2,22.4
2025041113,19.2,38,0.0,4.5,11.4,24.2
2025041114,20.2,33,0.0,3.4,11.5,25.1
2025041115,21.0,30,0.0,2.8,11.6,25.1
2025041116,21.2,29,0.0,2.5,11.6,24.4
2025041117,20.9,30,0.0,2.7,11.5,23.6
2025041118,20.2,32,0.0,3.0,11.3,22.1
2025041119,18.0,37,0.0,3.1,10.3,17.8
2025041120,15.7,50,0.0,5.3,10.0,16.0
2025041121,14.0,74,0.0,9.5,11.1,14.7
2025041122,13.2,76,0.0,9.1,10.6,13.5
2025041123,12.4,77,0.0,8.5,9.9,12.5
2025041200,11.7,78,0.0,8.0,9.4,11.6
2025041201,9.7,88,0.0,7.8,8.5,10.9
2025041202,9.1,87,0.0,7.0,7.7,10.2
2025041203,8.4,86,0.0,6.2,6.9,9.7
2025041204,7.7,89,0.0,6.0,6.6,9.2
2025041205,7.2,91,0.0,5.9,6.3,8.8
2025041206,7.1,89,0.0,5.4,6.0,8.5
2025041207,8.6,81,0.0,5.5,6.7,8.9
2025041208,10.9,74,0.0,6.5,8.2,10.5
2025041209,13.6,63,0.0,6.7,9.6,12.6
2025041210,16.2,51,0.0,6.0,10.5,15.1
2025041211,18.1,46,0.0,6.3,11.6,17.4
2025041212,19.9,44,0.0,7.3,12.8,19.4
2025041213,21.1,37,0.0,5.9,12.8,20.9
2025041214,21.8,29,0.0,3.0,12.0,21.8
2025041215,21.8,30,0.0,3.5,12.2,22.1
2025041216,21.4,31,0.0,3.5,12.0,21.8
2025041217,20.6,33,0.0,3.7,11.7,20.9
2025041218,19.4,41,0.0,5.8,12.0,19.6
2025041219,18.4,45,0.0,6.2,11.7,18.3
2025041220,17.3,50,0.0,6.8,11.4,16.8
2025041221,16.2,54,0.0,6.9,10.9,15.5
2025041222,15.2,58,0.0,7.0,10.5,14.8
2025041223,14.2,62,0.0,7.0,10.0,14.4
2025041300,13.4,67,0.0,7.4,9.8,14.0
2025041301,12.9,74,0.7,8.4,10.1,13.7
2025041302,12.6,81,0.7,9.4,10.5,13.4
2025041303,12.2,85,0.7,9.7,10.5,13.0
2025041304,11.4,85,0.0,9.0,9.8,12.5
2025041305,10.6,82,0.0,7.7,8.7,11.9
2025041306,10.3,78,0.0,6.6,8.0,11.7
2025041307,10.7,74,0.0,6.3,8.0,12.1
2025041308,11.7,69,0.0,6.2,8.4,12.9
2025041309,12.8,63,0.0,5.9,8.8,13.9
2025041310,14.1,56,0.0,5.5,9.3,15.2
2025041311,15.6,49,0.0,4.9,9.8,16.8
2025041312,16.6,43,0.0,4.0,9.9,18.0
2025041313,16.8,39,0.0,2.8,9.6,18.5
2025041314,16.5,36,0.0,1.4,9.0,18.7
2025041315,16.2,35,0.0,0.7,8.6,18.6
2025041316,15.9,34,0.0,0.0,8.2,18.2
2025041317,15.5,34,0.0,-0.3,7.9,17.4
2025041318,14.9,37,0.0,0.3,7.8,16.6
2025041319,13.8,44,0.0,1.8,7.7,15.6
2025041320,12.5,53,0.0,3.2,7.5,14.5
2025041321,11.4,62,0.0,4.4,7.5,13.6
2025041322,10.6,68,0.0,5.0,7.4,12.9
2025041323,10.0,74,0.0,5.6,7.4,12.3
2025041400,9.6,78,0.0,5.9,7.3,11.8
2025041401,9.2,82,0.0,6.3,7.3,11.3
2025041402,8.9,85,0.0,6.5,7.4,10.9
2025041403,8.7,86,0.0,6.5,7.2,10.6
2025041404,8.4,86,0.0,6.2,6.9,10.2
2025041405,8.1,84,0.0,5.6,6.5,10.0
2025041406,8.2,81,0.0,5.2,6.3,10.0
2025041407,8.8,75,0.0,4.6,6.3,10.4
2025041408,9.8,68,0.0,4.1,6.6,11.2
2025041409,10.7,62,0.0,3.7,6.9,12.0
2025041410,11.7,57,0.0,3.5,7.3,13.0
2025041411,12.7,52,0.0,3.1,7.7,14.1
2025041412,13.4,49,0.0,2.9,7.9,14.9
2025041413,15.1,39,0.0,1.3,8.3,16.7
2025041414,15.2,40,0.0,1.7,8.4,17.2
2025041415,15.0,42,0.0,2.2,8.5,17.2
2025041416,14.4,45,0.0,2.6,8.3,16.6
2025041417,13.5,50,0.0,3.3,8.1,15.6
2025041418,12.9,53,0.0,3.5,7.9,14.9
2025041419,11.6,70,0.0,6.4,8.5,13.6
2025041420,10.4,77,0.0,6.6,8.1,12.4
2025041421,9.4,82,0.0,6.5,7.5,11.3
2025041422,8.7,85,0.0,6.4,7.2,10.6
2025041423,8.2,86,0.0,6.0,6.8,10.0
2025041500,7.8,87,0.0,5.8,6.5,9.5
2025041501,7.3,89,0.0,5.6,6.2,8.9
2025041502,6.8,91,0.0,5.4,5.9,8.4
2025041503,6.4,92,0.0,5.2,5.6,8.0
2025041504,5.8,94,0.0,5.0,5.2,7.4
2025041505,5.3,96,0.0,4.8,4.9,6.8
2025041506,5.5,94,0.0,4.6,4.8,6.9
2025041507,6.8,86,0.0,4.6,5.4,7.8
2025041508,8.8,75,0.0,4.6,6.3,9.3
2025041509,10.7,64,0.0,4.2,7.0,11.1
2025041510,12.3,54,0.0,3.3,7.5,13.2
